,module_color,kME_in_own_module,kWithin
Gene.306,yellow,0.7732560602207736,97.84102659639916
Gene.307,brown,0.48839568270166783,132.02149489911108
Gene.308,blue,0.9373435848425278,155.05727554005463
Gene.309,brown,0.9613432711835593,181.67989797750727
Gene.310,yellow,0.8062520962826139,127.23241411799393
Gene.311,turquoise,0.953018910709839,185.51133810919706
Gene.312,turquoise,0.0868092233970041,86.07997755640024
Gene.313,brown,0.9450411264011002,109.91953471594447
Gene.314,turquoise,0.9409996636716349,169.6796765550633
Gene.315,blue,0.8282206752771986,153.8160808116081
Gene.316,turquoise,0.9127961212307952,176.5688914229392
Gene.317,blue,0.7050998835678288,132.07707267463167
Gene.318,blue,0.7298519515393255,149.06265970554165
Gene.319,blue,0.9329310377635728,158.53596207018842
Gene.320,turquoise,0.6097928397084681,133.1705909688655
Gene.321,turquoise,0.362846126992074,117.84735709451724
Gene.322,yellow,0.899751188786456,135.04464341863687
Gene.323,blue,0.8349893441011709,156.07197264273597
Gene.324,brown,0.9011019770897095,156.84715583083994
Gene.325,yellow,0.6465585023516401,121.03381188757079
Gene.326,yellow,0.7699955149767628,143.53943259967363
Gene.327,turquoise,0.8215398043145965,162.21140077967627
Gene.328,blue,0.9128218552264025,156.05922788269203
Gene.329,turquoise,0.8335359875946199,180.51034463632087
Gene.330,yellow,0.7705241694039776,136.28083964343307
Gene.331,red,0.28913288854715957,12.965014096333054
Gene.332,turquoise,0.9695496957402961,143.1070273754958
Gene.333,brown,0.7538815610504523,146.67450553264885
Gene.334,blue,0.8617025476967677,117.52084437638473
Gene.335,yellow,0.7019344218492274,127.50037514211223
Gene.336,turquoise,0.9536994588943687,112.04054780565521
Gene.337,brown,0.843516809094222,147.10661256044438
Gene.338,turquoise,0.940543847308869,156.41519522642778
Gene.339,yellow,0.9403232819015943,158.60008972979622
Gene.340,turquoise,0.9311872831370379,186.4986948570321
Gene.341,brown,0.9705367403900853,111.68935465026729
Gene.342,brown,0.9484050080576286,173.62141533937083
Gene.343,yellow,0.9125123752188644,151.6547180477282
Gene.344,blue,0.9077922244076954,100.98437440975859
Gene.345,yellow,0.8539839284645266,136.22139593033677
Gene.346,yellow,0.8144604432964555,147.8884837259835
Gene.347,red,0.7576438389059447,17.273217405130872
Gene.348,blue,0.7787035713722735,124.95972380751711
Gene.349,brown,0.5112742679117004,108.82903448329452
Gene.350,blue,0.5757870717047899,137.197626373664
Gene.351,yellow,0.7069052430896745,144.73469264179047
Gene.352,turquoise,0.9842045856819448,147.053720801085
Gene.353,blue,0.8370342576617638,168.3816080929044
Gene.354,yellow,0.7907393980244486,142.91632695956707
Gene.355,blue,0.8747203589303606,163.99872854879465
Gene.356,brown,0.9203095520711371,146.09353206346074
Gene.357,turquoise,0.5680949032560656,138.12325611836707
Gene.358,turquoise,0.9248675515927411,123.93245378460279
Gene.359,turquoise,0.8702098845165922,162.4096764016578
Gene.360,blue,0.8561011300552555,166.78706728782845
Gene.361,blue,0.8012217941226663,161.3899022362105
Gene.362,turquoise,0.889608319793009,126.15518054685147
Gene.363,turquoise,0.8905344956813271,170.15125471482364
Gene.364,yellow,0.7445821320512153,133.59482497300385
Gene.365,yellow,0.6975678537408367,119.71568879092678
Gene.366,yellow,0.9249594228408943,144.94459483849485
Gene.367,blue,0.7729447790074014,160.82643780599724
Gene.368,brown,0.9178328192660576,161.64162593311224
Gene.369,brown,0.9707325652893104,186.65887563972734
Gene.370,blue,0.8611646389808324,159.19666639583002
Gene.371,turquoise,0.164906997620518,93.42092394493882
Gene.372,turquoise,0.7766318498004956,173.15904077385787
Gene.373,yellow,0.8709884377161354,145.8374483975308
Gene.374,blue,0.9305542839541721,169.8836337342239
Gene.375,turquoise,0.3139795384089647,107.8265214361015
Gene.376,turquoise,0.7695966465554949,154.59183100971762
Gene.377,turquoise,0.6209394739645264,150.29900788494672
Gene.378,yellow,0.7091209872705737,123.85428827551986
Gene.379,turquoise,0.40252437464112917,136.3039543682821
Gene.380,brown,0.8209027347025397,103.27007423046472
Gene.381,yellow,0.9682310061897874,131.98869136970202
Gene.382,yellow,0.8979775599173778,122.70894492764575
Gene.383,yellow,0.7421977342685788,139.8893011023973
Gene.384,brown,0.8954704528341606,177.8496262293282
Gene.385,blue,0.8714338590372964,149.94213596837554
Gene.386,yellow,0.8349530287768429,144.70931953129912
Gene.387,turquoise,0.907978337752638,176.55207175450747
Gene.388,black,0.17646477763747354,6.892040435588863
Gene.389,turquoise,0.5761338973637373,146.15097879152157
Gene.390,yellow,0.931045090608015,157.83464685873065
Gene.391,brown,0.8920515849347798,172.31265715280327
Gene.392,turquoise,0.9033957443062792,119.28807517199884
Gene.393,turquoise,0.905875682138752,175.1926796412658
Gene.394,brown,0.9343072977635479,155.91449552267872
Gene.395,yellow,0.5596283985904925,110.90246689975517
Gene.396,turquoise,0.3986614457044252,118.54746432203432
Gene.397,yellow,0.43911410693686515,101.09638405864263
Gene.398,yellow,0.6588151718369651,126.94475654263958
Gene.399,turquoise,0.821406119773328,174.68130591334213
Gene.400,blue,0.9035826398494738,133.42875170468025
Gene.401,blue,0.9220164762835603,106.2687055590483
Gene.402,turquoise,0.7469217252191663,172.18366203948412
Gene.403,brown,0.9714264735763116,106.01085691538218
Gene.404,yellow,0.5685906608565309,109.51144848817285
